stemmed_output,category
question ask remedi measur fruit drope problem chayot crop n answer suggest appli cow dung manur kgplant base plant spray planofix mllitr water day interv,pest_control
question ask sow season pumkin crop n answer suggest pumkin grown two season ie januari april summer hervest septemb novemb spring hervest,crop_management
question ask remedi measur cutworm infest bittergourd crop n answer suggest appli malathion dust gplant case soil applicationalso suggest keep crop field weed free arrest pest infest,crop_management
question ask fertil dose coconut year old n answer suggest appli g urea g ssp g mop per plant along g borax,fertilizer
question ask koleroga diseas arecanut n answer suggest appli bordeaux mixtur,other
question ask control papaya leaf curl n answer suggest appli rogor mllitr water,pest_control
question ask fertil dose space papaya n answer suggest appli gm urea gm ssp gm mop kg fymspac mtmt,fertilizer
question ask fertilis dose method applic bottl gourd land bigha n answer suggest appli kg urea kg singl super kg potash along kg fym basal dress land bigha kg f urea top dress flower stage kg f urea top dress fruit set,fertilizer
question ask control beetl ridg gourd n answer suggest appli malathion ec ml litr water molass gm litr water,pest_control
question ask control khaira diseas rice n answer suggest appli znso kg lime kg litr water day sow,pest_control
question ask age castrat goat n answer suggest castrat within month,livestock
question ask earli varieti cauliflow n answer earli kuwaripusa deepali,crop_management
question ask fertil dose sali rice semi dwarf var n answer suggest appli kg urea kg ssp kg mop final land prepar kg urea flower initi,fertilizer
question ask treatment caugh goat n answer suggest adminst cflon powder gm thrice daili mix gur,livestock
question ask suitabl varieti brinjal assam condit n answer suggest use follow varieti pusa purpl kranti pusa purpl long pusa purpl cluster borbengena etc,crop_management
question ask packag practic brinjal n answer explain packag practic brinjal,other
question ask control measur fruit rot coconut n answer suggest mrmajumd appli bordeaux mixtur ie ltr trench system around plant get rid diseas,pest_control
question ask post flood varieti paddi n answer suggest collect luit kapili varieti paddi,crop_management
question ask kisan credit card n answer explain detail kisan credit card suggest approach nearest nationalis bank,agriculture_support
question ask te controlmeasur cutworm bottl gourd n answer suggest incorpor malathion dust soil around plant,pest_control
question ask remedi measur brown leav tip cucumb crop n answer suggest broadcast urea fertil kgbigha follow light water loosen oe soil,fertilizer
question ask cultiv practic potato n answer explain detail cultiv practic potato,other
question ask control measur control measur downi mildew pumkin n answer suggest appli indofil gmsliter day interv folliar spray,pest_control
question ask treatment bloatin cow n answer suggest administ rumen bolu bolustwic daili day,livestock
question ask cultiv practic bitter gourd n answer answer detail varietiesse rate fertil dose etc,fertilizer
question ask fungal diseas pineappl n answer spray mancozebgmlt water,pest_control
question ask fertis dose french bean n answer suggest mrhajam appli kg ureakg sspkg mop along kg fymthi fertilis dose suggest bigha land,fertilizer
question ask control measur bacteri wilt potato n answer suggest mrkoiri drench soil base plant ppm streptomycin also suggest appli mixtur gram asafoetida along gram turmer powder litr water drench soil time interv day transplant,pest_control
question ask procedur seed treatment potato n answer suggest mrkoiri cut piec longitudinallyth bigger size tuber eye piec dip cut piec mancozeb gram litr water min seed spread thinli dri shade hour cover moist gunni bag day suber,other
question ask varieti name potato n answer suggest detail regard varieti likekhufri jyotikhufri sindhurikhufri megha,crop_management
question ask seed treatment potato n answer suggest treat seed captaf hr dri srred shade,other
question ask treatment diarrhoea cow n answer suggest administ neblon powder gm twice daili day,livestock
question ask get crop loan bank n answer suggest contact nation bank market recoveri offic locat area,crop_management
question ask recommend fertil dose cabbag cultiv n answer suggest appli ureakgbighasspkgbighamopkgbigha fym quintlebigha,fertilizer
question ask recommend fertil dose cabbagebigha n answer suggest appli ureakgbighasspkgbighamopkgbigha fym quintlebigha,fertilizer
question ask control measur control late blight diseas infest potato n answer suggest appli dithan mgramlit water altern ridomil mzgramlit water day interv time,pest_control
question ask control measur control late blight diseas infest potato n answer suggest appli dithan mgramlit water altern ridomil mzgramlit water day interv time,pest_control
question ask good varieti boro rice along time plant best suit zone n answer suggest follow boroboroculturekrishnaircauverybanglamibishnuprasad jyotiprasad suggest varieti best suit barak valley zone belong varieti plant decemberjanuari,crop_management
question ask control measur late blight potato n answer suggest appli indofil mmllit water ridomil mzmllit water,pest_control
question ask fertil dose cauliflow n answer advis appli recommend fertil dose likeurea kilogrambighasspkilogrambighamop kilogrambighacompost quintlebighaand borax gram,fertilizer
question ask prevent measur late blight diseas potato n answer advis spray indofil gram per lire water interv day get rid diseas,pest_control
question ask control measur rot becaous excess irrig n answer suggest appli blitox gm per lit water follow spray borax molibdenum,pest_control
question ask control measur control late blight diseas potato n answer advis appli dithan gramlitr water altern ridomil mzgramlit water day interv,pest_control
question ask control measur leaf blight coconut tree affect number coconut tree n answer suggest spray bordeaux mixtur per plant remov old affect leav,pest_control
question ask recommend plant materi tea n answer advis plant recommend plant materi likeaclonetvtvtvtvtvtvtvpla bseedtststsbetajan jat,crop_management
question ask control measur bacteri wilt potato cultiv n answer suggest appli streptomycin gram per litr water drench soil around plant gram asafoetida along gram turmer powder mix litr wateralso advis whenev goe next cultiv potato appli gram bleach powder per hectar final land prepar,pest_control
question ask control measur control late blight diseas infest potato cultiv n answer suggest appli dithan gramlit water altern ridomil mzgramlit water day interv,pest_control
question ask treatment babesiosi cow n answer suggest administ berenil inj gram per kg bodi weight ml distil water per gram granulebi deep intramuscular routerepeat dose week,fertilizer
question ask method ripen tomato fruit normal harvest n answer suggest spray ethrel ppm fruit one month normal harvest,pest_control
question ask control measur aphid epilachna beetl destroy potato cultiv n answer suggest appli malathion ec litr litr water get control type pest,pest_control
question ask fertil dose beeter gourd n answer suggest appli kg urea kg ssp kg mop quintol compost urea suggest appli splt dose one time land preper nd day rest day,fertilizer
question ask recommend fertil dose wheat n answer suggest recommend fertil dose wheat isureakilogrambighasspkilogrambighamopkilogrambigha,fertilizer
question ask control measur control fruit rot diseas chilli n answer suggest appli bavistingramlit water day interv,pest_control
question ask control measur control fruit borer infest mango fruit n answer suggest spray dimecron ecmllit water follow wait period day,pest_control
question ask recommend fertil dose bitter gourd n answer suggest appli ureakilogrambighassp kilogrambighamop kilogrambigha fym quintalbigha,fertilizer
question ask control measur late blight potato n answer suggest spray indofil gram per litr water ridomil mz gram per litr water altern interv day also suggest spray care taken lower part leav also get wetten,pest_control
question ask control measur control fruit drop problem coconut n answer suggest appli recommend fertil dose likeurea kilogramplantssp kilogramplantmop kilogramplantborax gramplantfertil appli two equal split dose twice year trench method,pest_control
question ask control measur control wilt problem tomato n answer suggest applli agromycin milligramlit water spray solut gram asafoetida gram turmer mixtur liter water,pest_control
question ask control measur control fruit drop problem coconut n answer suggest appli recommend fertil dose likeurea kilogramplantssp kilogramplantmop kilogramplantborax gramplant also appli planofixtsf liter waterfertil appli two equal split dose twice year trench cm width cm depth radiu away main trunk,pest_control
question ask seed ratebigha cucumb n answer suggest seed rate cucumberbigha gram,other
question ask market pricequint tomato district n answer suggest market price tomato isrsquintalmin rsquintalmax,other
question ask control measur control late blight diseas infest potato n answer suggest appli dithan gramlit water altern ridomil mzgramlit water day interv,pest_control
question ask control measur control bacteri wilt diseas tomato n answer suggest appli streptomycin sulphatemglit water,pest_control
question ask control measur black spot diseas cabbag n answer suggest spray streptomycin gram per litr water get control diseas,pest_control
question ask measur requir prepar vermicompost tank n answer suggest tank dimens meter width meter length meter height prefer,other
question ask treatment white diarrhoea poultri n answer suggest separ diseas birdsuggest administ tetracyclin powder gm ltr water feed time day,livestock
question ask control measur control fruit borer pest infest tomato n answer suggest spray neem base pesticid likeneem goldachok mlliter water,pest_control
question ask treatment diarrhoea cow n answer suggest administ neblon powder gm twice daili five daysalong administ steclin bolu bolu twice daili five day,livestock
question ask treatment wound cow n answer suggest clean wound betadin spray skin heal spray affect area twice daili,pest_control
question ask inform central institut post harvest engin technolog ludhiana punjab n answer answer dr rtpatil director ciphet ludiana punjab institut divison agricultur structur environment control food grain oil seed processingtransf technolog horticultur crop process contact number provid along also advis mr singha search googl inform detail,pest_control
question ask treatment white diarrhoea poultri n answer suggest administ hostacyclin powder gm ltr water,other
question ask treatment bloat goat n answer suggest administ afanil mlml oral rest bml hoursalong administ steclin mg bolu bolu twice dailyadminist bovirum bolu bolu twice daili,livestock
question ask prevent measur fruit borer mango n answer suggest follow clean cultiv brush trunk lime spray field malathion ec,pest_control
question ask control measur control fruit rot diseas chiili n answer suggest appli dithan gramlit water,pest_control
question tell want cultiv cucumb land bigha ask process cutiv practic n answer suggest select marapr seed rate gram per bigha plant distanc suggest x metr fertil suggest kilogram urea super potash farm yard manur respect also suggest treat per kilogram seed gram captaf prevent root rot sow prevent measur also elabor detail wish success bulk produc expect,fertilizer
question ask financi assitst dairi farm n answer suggest contact nearest sbi branch loan financ,agriculture_support
question ask varieti rajma n answer suggest varieti isuday,crop_management
question ask preserv method potato tuber sown month n answer suggest mr borbhuyan dip select tuber sown solut gram boric acid litr water minut tuber thinli spread shade also suggest examin tuber seed separ throw away rotten one whenev case observ advis spari malathion percent dust powder help sprayer gram malathion percent dust powder suffici quintal potato tuber,pest_control
question ask age castrat goat n answer age castrat month goat,livestock
